feature,importance
price_lag_1h,2551
price_diff_4,1961
price_lag_24h,1305
price_lag_168h,1291
rolling_mean_24h,1091
rolling_std_24h,972
rolling_mean_168h,883
hour,728
rolling_std_168h,689
sin_hour,476
day,433
cos_hour,429
price_diff_1,384
month,312
price_pct_change_1,306
cos_month,245
weekday,211
hour_x_business,208
sin_day_of_week,130
sin_month,108
hour_x_weekend,82
day_of_month,75
day_of_week,55
cos_day_of_week,55
is_business_hour,20
is_weekend,0
